text,label
"Excellent travail, très professionnel",positive
"Bonne performance, satisfait du résultat",positive
"Travail soigné, respecte les délais",positive
"Très bon esprit d'équipe",positive
"Bon travail",positive

"Travail moyen, peut mieux faire",neutral
"Correct mais sans plus",neutral
"Résultat acceptable",neutral
"Rien à signaler",neutral
"Peut encore s'améliorer",neutral

"Tu ne fais jamais rien correctement",aggressif
"C’est n’importe quoi ce que tu as fait",aggressif
"Travail médiocre",aggressif
"Ton attitude est inacceptable",aggressif
"Arrête de tout rater",aggressif

"Tu es vraiment incapable de faire quelque chose correctement.",aggressif
"Combien de fois faut-il te le répéter ?",aggressif
"Tu ne sers strictement à rien dans cette équipe.",aggressif
"Toujours aussi lent, rien ne change.",aggressif
"Si seulement tu pouvais réfléchir avant d'agir…",aggressif
"Tu fais pitié, honnêtement.",aggressif
"Tu crois que c'est un travail, ça ?",aggressif
"Je n'ai jamais vu quelqu'un d'aussi incompétent.",aggressif
"Ton attitude est insupportable.",aggressif
"Tu sabotes tout ce que tu touches.",aggressif
"Franchement, tu devrais avoir honte.",aggressif
"C'est pathétique à ce stade.",aggressif
"Encore une erreur ? C'est une habitude chez toi ?",aggressif
"Arrête de te trouver des excuses.",aggressif
"On se demande comment tu as eu ce poste.",aggressif
"C'est censé être ton meilleur travail ?",aggressif
"Même un stagiaire ferait mieux.",aggressif
"Tu fais toujours tout de travers.",aggressif
"Tu n'as vraiment aucun bon sens.",aggressif
"Tu veux qu'on t'explique encore une fois ? Sérieusement ?",aggressif
"Ce que tu appelles un effort, c'est une blague.",aggressif
"T'as compris quelque chose au moins ?",aggressif
"On ne peut jamais compter sur toi.",aggressif
"Tu fatigues tout le monde avec ton incompétence.",aggressif
"Tu gâches le travail des autres à chaque fois.",aggressif
"Tu n'apprends jamais de tes erreurs.",aggressif
"Ton manque de sérieux est désespérant.",aggressif
"Je ne sais pas comment tu fais pour être aussi nul.",aggressif
"Toujours aussi inutile, bravo.",aggressif
"Tu devrais peut-être changer de métier.",aggressif
"Tu as encore tout foiré.",aggressif
"C'est toujours pareil avec toi.",aggressif
"Tu veux pas faire un minimum d'effort ?",aggressif
"Je me demande si tu comprends ce qu'on te dit.",aggressif
"Tu n'écoutes jamais rien, comme d'habitude.",aggressif
"On t'a déjà expliqué dix fois, c'est pas possible !",aggressif
"Tu es une perte de temps.",aggressif
"Encore une fois, tu déçois tout le monde.",aggressif
"Tu n'as aucune idée de ce que tu fais.",aggressif
"C'est affligeant de te voir travailler.",aggressif
"Tu rates tout ce que tu touches.",aggressif
"Même les bases, tu ne les maîtrises pas.",aggressif
"C'est pas compliqué, mais tu trouves le moyen de rater.",aggressif
"Tu cherches à saboter le projet ou quoi ?",aggressif
"Tu es un boulet pour toute l'équipe.",aggressif
"Ton comportement est inacceptable.",aggressif
"Tu ne fais jamais les choses comme il faut.",aggressif
"T'as conscience que tu ralentis tout le monde ?",aggressif
"Toujours en retard, toujours à côté de la plaque.",aggressif
"C'est épuisant de devoir tout te corriger.",aggressif
"Tu crois que c'est drôle de ne rien comprendre ?",aggressif
"Franchement, tu me désespères.",aggressif
"Tu n'as aucune rigueur.",aggressif
"Même les enfants feraient mieux que toi.",aggressif
"Tu es vraiment irrécupérable.",aggressif
"Je ne sais même plus pourquoi on te garde.",aggressif
"Tu prends plaisir à rater, on dirait.",aggressif
"Tu n'as aucun respect pour le travail des autres.",aggressif
"C'est toujours toi le problème.",aggressif
"Tu devrais arrêter de prétendre savoir ce que tu fais.",aggressif
"Tu fais honte à ton poste.",aggressif
"Tu n'as rien compris au métier, visiblement.",aggressif
"Tu es la définition de la paresse.",aggressif
"Tu crois que tout va se faire tout seul ?",aggressif
"C'est ton maximum, vraiment ?",aggressif
"Toujours à pleurnicher au lieu d'agir.",aggressif
"Tu crois qu'on t'a embauché pour décorer ?",aggressif
"Si tu pouvais juste être un peu utile, pour une fois.",aggressif
"Tu ne fais que créer des problèmes.",aggressif
"On dirait que tu le fais exprès.",aggressif
"Tu es un vrai poids mort pour l'équipe.",aggressif
"C'est un miracle que tu sois encore là.",aggressif
"Tu rends tout plus compliqué.",aggressif
"Tu comprends jamais rien, même les choses simples.",aggressif
"Ton incompétence est légendaire.",aggressif
"Je ne pensais pas que quelqu'un pouvait être aussi lent.",aggressif
"Toujours à côté de la plaque, comme toujours.",aggressif
"Tu ne réfléchis jamais avant d'agir.",aggressif
"Tu crois que ton travail est acceptable ?",aggressif
"Tu es un exemple de ce qu'il ne faut pas faire.",aggressif
"Tu fais perdre du temps à tout le monde.",aggressif
"Tu ne progresses jamais, malgré tout.",aggressif
"Je crois que tu n'as aucune motivation.",aggressif
"Ton comportement est lamentable.",aggressif
"Tu es fatiguant à force de tout rater.",aggressif
"Tu crois que c'est drôle de tout gâcher ?",aggressif
"Tu es juste incapable de t'améliorer.",aggressif
"Toujours à chercher des excuses.",aggressif
"Tu es complètement inutile dans ce projet.",aggressif
"On dirait que tu t'en fiches totalement.",aggressif
"Tu fais semblant de travailler, c'est ça ?",aggressif
"C'est consternant de te voir agir ainsi.",aggressif
"Tu détruis tous nos efforts.",aggressif
"Ton travail est un désastre.",aggressif
"Tu es une vraie catastrophe ambulante.",aggressif
"Ton attitude est exaspérante.",aggressif
"Tu n'as aucune conscience professionnelle.",aggressif
"C'est toujours les mêmes erreurs avec toi.",aggressif
"Tu fais honte à ton équipe.",aggressif
"Tu devrais sérieusement te remettre en question.",aggressif
"Tu crois vraiment que c'est un travail digne de ce nom ?",aggressif
"Tu es un fardeau pour tout le monde ici.",aggressif
"À ce rythme, tu vas finir par tout ruiner.",aggressif
"Tu es un exemple de ce qu'il ne faut jamais faire.",aggressif
"Même en essayant, tu ne pourrais pas faire pire.",aggressif
"Tu fatigues tout le monde avec tes erreurs.",aggressif
"On ne peut pas compter sur toi, jamais.",aggressif
"Tu rends tout le monde nerveux avec ton incompétence.",aggressif
"C'est impressionnant d'être aussi nul, vraiment.",aggressif
"Tu sembles fier de ton incompétence, c'est ça ?",aggressif
"C'est triste de te voir croire que tu fais bien.",aggressif
"Tu n'as aucune notion du professionnalisme.",aggressif
"C'est incroyable à quel point tu ralentis tout.",aggressif
"Tu es à côté de la plaque en permanence.",aggressif
"Tu crois qu'on a le temps de te babysitter ?",aggressif
"Tu ne comprends rien, mais tu continues à parler.",aggressif
"Ton niveau est une blague.",aggressif
"Tu n'as aucune idée de ce que tu fais ici.",aggressif
"Tu confonds vitesse et précipitation, comme toujours.",aggressif
"Ton manque de compétences est alarmant.",aggressif
"C'est toujours toi qui bloques le travail.",aggressif
"Tu devrais peut-être retourner à l'école.",aggressif
"Tu n'as aucun sens des priorités.",aggressif
"Ton comportement est irrespectueux et inutile.",aggressif
"Tu n'as pas ta place ici.",aggressif
"Tu es la cause principale de nos problèmes.",aggressif
"Ton attitude est toxique pour tout le monde.",aggressif
"Tu ne fais que créer des tensions.",aggressif
"C'est un cauchemar de travailler avec toi.",aggressif
"Tu es incapable de suivre une simple consigne.",aggressif
"Tu rates même les choses les plus faciles.",aggressif
"C'est désespérant de te voir faire.",aggressif
"Tu fais honte à ton service.",aggressif
"Tu sembles vivre sur une autre planète.",aggressif
"Tu es une erreur de recrutement.",aggressif
"Personne ne veut travailler avec toi, tu le sais ?",aggressif
"Tu es un poids pour cette équipe.",aggressif
"C'est pénible de devoir tout refaire derrière toi.",aggressif
"Tu ruines la motivation des autres.",aggressif
"Tu te moques complètement du travail.",aggressif
"Tu ne comprends rien, même après plusieurs explications.",aggressif
"Tu transformes tout en désordre.",aggressif
"Tu es toujours perdu, c'est incroyable.",aggressif
"Tu n'as aucune fierté dans ton travail.",aggressif
"C'est du grand n'importe quoi, encore une fois.",aggressif
"Tu fais exprès d'être mauvais, non ?",aggressif
"C'est toujours les mêmes excuses avec toi.",aggressif
"Ton comportement frôle la provocation.",aggressif
"Tu manques cruellement de discipline.",aggressif
"On ne peut même pas te faire confiance.",aggressif
"Tu es juste là pour décorer ?",aggressif
"Tu détruis le moral de toute l'équipe.",aggressif
"Tu n'as aucun respect pour ton travail.",aggressif
"Tu sembles allergique à l'effort.",aggressif
"C'est incroyable d'être aussi désorganisé.",aggressif
"Tu transformes chaque tâche en problème.",aggressif
"Tu ne comprends jamais les consignes.",aggressif
"Tu es un exemple parfait d'inefficacité.",aggressif
"Tu ne fais jamais rien de bon.",aggressif
"C'est désolant de te voir persister.",aggressif
"Tu es incapable d'assumer tes erreurs.",aggressif
"Tu as toujours une excuse bidon.",aggressif
"Tu ne prends jamais tes responsabilités.",aggressif
"Ton incompétence dépasse l'entendement.",aggressif
"C'est usant de travailler avec toi.",aggressif
"Tu ne fais jamais ce qu'on te demande.",aggressif
"Tu es un boulet permanent.",aggressif
"Tu ne comprends pas le mot efficacité.",aggressif
"C'est épuisant de devoir tout t'expliquer.",aggressif
"Tu es toujours à côté du sujet.",aggressif
"C'est désespérant de voir ton manque de logique.",aggressif
"Tu ne fais aucun effort, jamais.",aggressif
"Tu es une source constante de problèmes.",aggressif
"Tu détruis la cohésion de l'équipe.",aggressif
"Tu es une honte pour ton poste.",aggressif
"Tu ne sers à rien d'autre qu'à ralentir tout le monde.",aggressif
"C'est difficile de faire pire que toi.",aggressif
"Tu n'as aucune conscience de ton incompétence.",aggressif
"Ton manque de sérieux est une honte.",aggressif
"Tu ne fais aucun progrès malgré tout.",aggressif
"Tu es toujours en retard et toujours à côté.",aggressif
"Tu n'as aucune initiative utile.",aggressif
"Tu es borné et désagréable.",aggressif
"Tu es la définition même de la médiocrité.",aggressif
"Tu n'apportes rien de positif ici.",aggressif
"Tu rates tout ce que tu touches, sans exception.",aggressif
"Tu es une perte de temps et d'énergie.",aggressif
"C'est effrayant à quel point tu ne comprends rien.",aggressif
"Tu es un cas désespéré.",aggressif
"Tu rends chaque projet plus difficile.",aggressif
"C'est fatiguant de t'avoir dans l'équipe.",aggressif
"Tu es une vraie plaie au quotidien.",aggressif
"Tu te crois malin, mais tu es ridicule.",aggressif
"Tu devrais avoir honte de ton comportement.",aggressif
"Tu es inutile, et tu le sais.",aggressif
"On ne peut pas aller plus bas avec toi.",aggressif
"Ton travail est un désastre permanent.",aggressif
"Tu es un poids mort dans cette entreprise.",aggressif
"C'est toujours la même histoire avec toi.",aggressif
"Tu es épuisant, personne ne supporte de bosser avec toi.",aggressif
"Tu ne fais que gaspiller notre temps.",aggressif
"Tu es un boulet pour toute l'équipe.",aggressif
"Ton incapacité est presque impressionnante.",aggressif
"Tu es un exemple d'échec constant.",aggressif
"Tu n'as aucun talent, et ça se voit.",aggressif
"C'est toujours toi le problème ici.",aggressif
"Tu ralentis tout le monde à cause de ton incompétence.",aggressif
"Tu n'as aucun sens des priorités, comme d'habitude.",aggressif
"C'est incroyable à quel point tu es à côté de la plaque.",aggressif
"Tu es inutile et inefficace.",aggressif
"Tu fais tout de travers, sans exception.",aggressif
"Ton travail est un désastre complet.",aggressif
"Tu es un frein à notre réussite.",aggressif
"Tu n'as aucune idée de ce que tu fais, comme toujours.",aggressif
"Tu es un vrai fardeau pour l'équipe.",aggressif
"Tu devrais avoir honte de ce résultat.",aggressif
"Tu es complètement dépassé par la situation.",aggressif
"Ton attitude est lamentable.",aggressif
"Tu ne comprends rien à ton métier.",aggressif
"Tu détruis tout ce que tu touches.",aggressif
"Tu es toujours en retard et jamais prêt.",aggressif
"C'est fatigant de te voir faire n'importe quoi.",aggressif
"Tu es incapable de suivre une simple consigne.",aggressif
"Tu es tout simplement incompétent.",aggressif
"Tu es un mauvais exemple pour les autres.",aggressif
