text,label
Même un stagiaire ferait mieux que toi.,aggressif
Tu n'as aucune valeur ajoutée.,aggressif
Tu ne fais jamais rien de bon.,aggressif
Tu sembles incapable de comprendre la base du métier.,aggressif
Tu es la raison pour laquelle on perd patience.,aggressif
Tu ne comprends pas le mot efficacité.,aggressif
Ton manque de sérieux met tout en danger.,aggressif
Ton travail est une insulte au professionnalisme.,aggressif
"À ce rythme, tu vas finir par tout ruiner.",aggressif
Tu es un désastre permanent.,aggressif
Ton travail fait honte à l'entreprise.,aggressif
Tu es une erreur à chaque tâche confiée.,aggressif
Tu es une mauvaise décision incarnée.,aggressif
Tu es la preuve vivante que tout le monde ne devrait pas travailler ici.,aggressif
C'est un miracle que tu sois encore là.,aggressif
Tu es une blague qui dure trop longtemps.,aggressif
Tu fais honte à ton poste.,aggressif
Tu es un obstacle permanent à l'efficacité.,aggressif
Tu es vraiment incapable de faire quelque chose correctement.,aggressif
On ne peut pas aller plus bas avec toi.,aggressif
Tu ne fais jamais ce qu'on te demande.,aggressif
Tu rends le travail impossible à cause de ton attitude.,aggressif
Si seulement tu pouvais réfléchir avant d'agir…,aggressif
Tu es une tornade de problèmes.,aggressif
Tu es une erreur humaine à chaque étape.,aggressif
"Même les bases, tu ne les maîtrises pas.",aggressif
C'est désespérant de t'expliquer encore la même chose.,aggressif
Tu es une honte publique au bureau.,aggressif
Tu es le pire investissement humain jamais fait.,aggressif
Tu te moques complètement du travail.,aggressif
"Franchement, tu devrais avoir honte.",aggressif
Tu es incapable de gérer la moindre pression.,aggressif
Je ne sais pas comment tu fais pour être aussi nul.,aggressif
C'est une honte de te voir agir ainsi.,aggressif
Tu es une perte de confiance totale.,aggressif
Tu es une plaie ouverte dans cette organisation.,aggressif
Tu ne comprends pas la moitié de ce que tu fais.,aggressif
Tu n'as aucune notion du professionnalisme.,aggressif
"Tu n'as aucune idée de ce que tu fais, littéralement.",aggressif
Même un stagiaire ferait mieux.,aggressif
Tu fais honte à ton équipe.,aggressif
Tu es l'exemple vivant de ce qu'il ne faut pas faire.,aggressif
Tu es un exemple d'échec constant.,aggressif
Tu es une source infinie de déceptions.,aggressif
"C'est pas compliqué, mais tu trouves le moyen de rater.",aggressif
Tu es l'erreur de trop.,aggressif
Tu sabotes tout ce que tu touches.,aggressif
Tu ne sers strictement à rien dans cette équipe.,aggressif
Tu n'as aucune conscience de ton incompétence.,aggressif
"Franchement, tu me désespères.",aggressif
Tu détruis la motivation de tout le monde.,aggressif
Tu es une honte pour ta profession.,aggressif
Tu es un exemple de ce qu'il ne faut pas faire.,aggressif
Tu n'as aucun respect pour les règles.,aggressif
Tu es une perte de motivation ambulante.,aggressif
Ton attitude est insupportable.,aggressif
Ton attitude est irrespectueuse et fatiguante.,aggressif
Tu n'as aucun respect pour tes collègues.,aggressif
Tu es incapable de comprendre une consigne claire.,aggressif
"Travail moyen, peut mieux faire",neutral
Tu es un fardeau pour tout le monde ici.,aggressif
Tu as encore tout foiré.,aggressif
C'est désespérant de voir ton manque de logique.,aggressif
Combien de fois faut-il te le répéter ?,aggressif
Tu es une perte sèche pour la société.,aggressif
Tu es la raison pour laquelle tout prend du retard.,aggressif
Très bon esprit d'équipe,positive
Tu détruis tout ce que tu touches.,aggressif
Tu es un fardeau dont on ne se débarrasse jamais.,aggressif
Ton comportement est inacceptable.,aggressif
Ton attitude est exaspérante.,aggressif
Tu es une tache sur la réputation de l'équipe.,aggressif
Tu es un fardeau qu'on supporte par obligation.,aggressif
On se demande comment tu as eu ce poste.,aggressif
Tu es une perte d'argent pour cette entreprise.,aggressif
Tu n'as aucune conscience professionnelle.,aggressif
C'est pathétique à ce stade.,aggressif
Résultat acceptable,neutral
Tu es un boulet permanent.,aggressif
Tu es un désastre managérial.,aggressif
Ton travail est un désastre.,aggressif
On ne peut jamais compter sur toi.,aggressif
"Tu es toujours perdu, c'est incroyable.",aggressif
Tu es un échec constant malgré les formations.,aggressif
Tu es un exemple de ce qu'il ne faut jamais faire.,aggressif
Tu devrais sérieusement te remettre en question.,aggressif
"Tu es lent, confus et désorganisé.",aggressif
Tu es incapable d'assumer tes erreurs.,aggressif
Tu es la définition du mot raté.,aggressif
Tu n'es bon qu'à créer des problèmes.,aggressif
Tu es incapable de suivre une simple consigne.,aggressif
Tu es le chaos incarné.,aggressif
Tu es un cauchemar à gérer.,aggressif
Ton travail est un désastre permanent.,aggressif
Tu es un poids mort depuis ton arrivée.,aggressif
Tu es un frein émotionnel à la productivité.,aggressif
Tu es un danger pour la sérénité des autres.,aggressif
Ton attitude est toxique pour tout le monde.,aggressif
Tu es une erreur vivante dans chaque mission.,aggressif
Tu n'as aucune rigueur.,aggressif
Tu es un danger pour la réussite du groupe.,aggressif
Tu sembles allergique à l'effort.,aggressif
Tu es une catastrophe professionnelle de haut niveau.,aggressif
Tu es un boulet sur chaque dossier.,aggressif
"Tu n'as aucune idée de ce que tu fais, comme toujours.",aggressif
Ton manque de sérieux est une honte.,aggressif
Tu crois qu'on t'a embauché pour décorer ?,aggressif
Tu es une vraie catastrophe ambulante.,aggressif
Tu es un mur face à toute progression.,aggressif
Tu rates même les choses les plus faciles.,aggressif
Tu ne réfléchis jamais avant d'agir.,aggressif
C'est pénible de devoir tout refaire derrière toi.,aggressif
Tu es la preuve que tout le monde ne peut pas réussir.,aggressif
C'est toujours les autres qui doivent corriger tes erreurs.,aggressif
Tu ne fais que créer des problèmes.,aggressif
Tu es complètement inutile dans ce projet.,aggressif
Tu es juste là pour décorer ?,aggressif
Tu manques cruellement de discipline.,aggressif
Tu n'apportes rien de positif ici.,aggressif
Ton comportement est honteux.,aggressif
Tu devrais arrêter de prétendre savoir ce que tu fais.,aggressif
Ton manque de compétence est une œuvre d'art.,aggressif
Tu es un vrai fardeau pour l'équipe.,aggressif
Tu es une plaie qu'on n'arrive pas à guérir.,aggressif
"Même en essayant, tu ne pourrais pas faire pire.",aggressif
Tu es une honte pour ton équipe.,aggressif
Tu es un danger pour la qualité du travail.,aggressif
"On devrait te payer pour ne rien faire, ça irait plus vite.",aggressif
Tu es une blague sans fin.,aggressif
Tu es un problème sans solution.,aggressif
Tu es un poids qu'on traîne depuis trop longtemps.,aggressif
Tu n'as aucune motivation apparente.,aggressif
Tu es une ruine de motivation pour les autres.,aggressif
Tu es une perte d'espace et de salaire.,aggressif
Tu es le problème que personne ne veut affronter.,aggressif
Tu fais honte à ton équipe.,aggressif
T'as compris quelque chose au moins ?,aggressif
Tu n'as aucune initiative utile.,aggressif
Tu n'as pas ta place ici.,aggressif
Tu es un poids insupportable pour l'équipe.,aggressif
Tu es un fardeau émotionnel pour tout le monde.,aggressif
Tu es un danger pour le travail bien fait.,aggressif
Tu es un rappel constant de l'échec.,aggressif
Tu es un boulet pour toute l'équipe.,aggressif
Tu es une tache indélébile sur notre réputation.,aggressif
Tu n'as aucune conscience professionnelle.,aggressif
Ton incompétence est légendaire.,aggressif
Tu es une erreur vivante dans ce service.,aggressif
